Designator,Footprint,Quantity,Value,LCSC Part #
"AM0, AM1, AM2, AM3, AM4",SSOP-24_5.3x8.2mm_P0.65mm,5,CD74HC4067SM,C98457
"ANT1, ANT2",MIFA,2,~,
BS1,Hong_Cheng_HCZZ0001-2,1,HCZZ0001-2,C7433453
"C1, C10, C19, C8, C9",Capacitor_0402,5,100nF,
"C11, C14, C16, C17",Capacitor_0402,4,12pF,
C12,Capacitor_0402,1,0.8pF,
C13,Capacitor_0402,1,0.5pF,
C18,Capacitor_0402,1,1µF,
C2,Capacitor_0402,1,100pF,
"C20, C21, C24",Capacitor_0603,3,10µF,
"C22, C25, C36, C4, C43, C6",Capacitor_0603,6,1µF,
C23,Capacitor_0603,1,2.2µF,
"C26, C33, C49, C50, C51, C53, C59",0201,7,100nF,
"C27, C28, C29",Capacitor_0402,3,N.C.,
C3,Capacitor_0402,1,820pF,
C30,Capacitor_0402,1,1.5pF,
"C31, C32, C41, C42",0201,4,12pF,
"C34, C40, C46, C57",0201,4,N.C.,
C35,0201,1,100pF,C710791
C37,0201,1,47nF,
C38,0201,1,820pF,
"C39, C48, C5, C7",Capacitor_0603,4,4.7µF,
C44,0201,1,0.8pF,
C45,0201,1,0.5pF,C2981049
C47,0201,1,1.5pF,
"C52, C54",Capacitor_0402,2,4.7µF,
C58,0201,1,10nF,
"CR1, CR3",Murata_Crystal_SMD_2016-4Pin_2.0x1.6mm,2,32MHz,C914155
CR2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,C97605
CR4,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768kHz,C97603
"DBS0, MBS1",Hong_Cheng_HCZZ0001-11,2,HCZZ0001-11,C7433462
"DBS1, MBS2",Hong_Cheng_HCZZ0001-5,2,HCZZ0001-5,C7433456
"ESD1, ESD2",SOT-143,2,PRTR5V0U2X,C41409257
"F1, F2, F3",1206,3,500mA,C269112
"FB3, FB4",0201,2,120R/0.85A,C2661865
"FID1, FID2, FID3",Fiducial_1mm_Mask2mm,3,Fiducial,
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
ICCPR1,Nordic_QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,1,nPM1300 Datasheet Layout,C7501206
J1,USB A,1,USB_A,
"J2, J3",Tag-Connect_TC2050-IDC-NL_2x05_P1.27mm_Vertical,2,TC2050-IDC,
L1,0402,1,4.7nH,C3249625
L2,Samsung_CIGT201610EH2R2MNE,1,2.2µH,C5185544
L3,0201,1,4.7nH,C86126
"L4, L5",0603,2,10µH,C87216
L6,0402,1,15nH,C87189
"LED1, LED2",LED_SK6812MINI,2,LED_SK6812MINI,C5149201
MCU1,Nordic_AQFN-73-1EP_7x7mm_P0.5mm_Thermal,1,nRF52840 aQFN73 Datasheet Layout,C190794
MCU2,Nordic_AQFN-73-1EP_7x7mm_P0.5mm_Thermal,1,nRF52840 aQFN73 Datasheet Layout,
"R1, R9",0201,2,0R,
R2,0201,1,4R7,
R3,0201,1,250-500k,
"R4, R5, R6, R7, R8",0201,5,10k,
RK1,RotaryEncoder_CTR_ED11601M-FB15A7.0-C15-202,1,RotaryEncoder_Switch_MP,
RSW1,Button_TL3342,1,Switch,C2886897
SSW1,SW_SP3T_Korean_Hroparts_Elec_K3-1346S-K1,1,K3-1346S-K1,
SSW2,SW_SPDT_Korean_Hroparts_Elec_K3-1280S-K1,1,K3-1280S-K1,
"U1, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U3, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U40, U41, U42, U43, U44, U45, U46, U47, U48, U49, U5, U50, U51, U52, U53, U54, U55, U56, U57, U58, U59, U6, U60, U61, U62, U63, U64, U65, U66, U7, U8, U9",GH39FKSW_OH49E-S,66,Hall_Sensor,C266230
USBC1,USB_C_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
