Designator,Mid X,Mid Y,Rotation,Layer
AM0,308.226797,-147.21429,270.0,top
AM1,251.106797,-147.21429,270.0,top
AM2,193.986797,-147.21429,270.0,top
AM3,136.866797,-147.21429,270.0,top
AM4,71.416797,-147.21429,270.0,top
ANT1,195.993672,-199.21554,0.0,top
ANT2,312.956246,-96.131251,180.0,top
BS1,164.884115,-123.317859,90.0,top
C1,220.401172,-196.396165,0.0,top
C10,210.655,-186.55179,90.0,top
C11,206.717422,-197.483665,90.0,top
C12,209.631797,-192.776165,270.0,top
C13,206.805547,-192.776165,270.0,top
C14,210.599922,-197.342415,270.0,top
C16,222.985549,-196.790538,180.0,top
C17,224.506799,-193.87804,270.0,top
C18,233.789115,-134.78929,270.0,top
C19,232.750199,-134.789289,270.0,top
C2,208.908047,-195.406165,180.0,top
C20,213.091797,-145.34554,0.0,top
C21,212.752865,-135.611608,90.0,top
C22,209.768047,-135.611607,90.0,top
C23,214.294115,-135.611607,90.0,top
C24,214.839509,-147.39554,90.0,top
C25,211.360365,-135.611608,90.0,top
C26,216.165366,-141.862415,0.0,top
C3,208.259297,-191.222415,180.0,top
C30,201.199297,-198.73554,90.0,top
C31,305.181406,-107.781251,180.0,top
C32,305.156405,-104.181251,0.0,top
C33,302.636405,-96.936249,90.0,bottom
C35,302.366401,-107.18125,0.0,bottom
C36,304.736404,-102.231252,270.0,bottom
C37,301.881406,-106.381248,180.0,bottom
C38,297.101239,-106.481249,0.0,bottom
C39,297.036403,-97.23125,90.0,bottom
C4,216.745135,-196.422627,180.0,top
C41,301.586408,-98.191249,0.0,top
C42,303.826404,-97.01125,270.0,top
C43,304.511404,-96.45625,180.0,bottom
C44,300.811405,-107.981247,0.0,top
C45,301.911405,-108.361247,90.0,top
C47,307.751247,-96.451248,270.0,top
C48,299.311404,-97.93125,180.0,bottom
C49,304.681405,-104.981247,180.0,bottom
C5,217.889297,-185.567415,90.0,top
C50,295.436401,-101.58125,90.0,bottom
C51,295.436404,-104.036248,90.0,bottom
C52,289.756403,-104.531251,0.0,top
C53,289.916404,-105.431248,0.0,top
C54,295.786407,-99.47125,270.0,bottom
C58,294.850026,-96.431253,90.0,bottom
C59,295.266408,-97.551248,180.0,bottom
C6,220.398672,-197.639915,0.0,top
C7,219.189115,-186.719733,90.0,top
C8,212.032422,-195.89554,180.0,top
C9,213.771797,-185.802415,90.0,top
CR1,208.666172,-197.412415,180.0,top
CR2,223.019297,-194.201789,90.0,top
CR3,305.386401,-105.981251,270.0,top
CR4,302.126404,-96.891249,180.0,top
DBS0,325.130771,-109.998351,0.0,top
DBS1,66.659376,-120.537104,90.0,top
ESD1,230.561797,-135.25929,180.0,top
ESD2,289.286405,-102.43125,90.0,top
F1,235.425365,-132.90929,270.0,top
F2,159.7825,-122.92911,90.0,top
F3,287.977743,-106.99125,0.0,top
FB3,295.586403,-96.431248,270.0,bottom
FB4,294.301241,-108.041252,180.0,bottom
FID1,352.609297,-113.697627,0.0,bottom
FID2,227.224297,-185.34929,0.0,bottom
FID3,96.913884,-144.786377,0.0,bottom
ICCPR1,212.056615,-141.067858,90.0,top
J1,278.60124,-102.431251,90.0,bottom
L1,208.254297,-192.296165,180.0,top
L2,213.059115,-147.406609,90.0,top
L3,300.811405,-108.681247,0.0,top
L4,299.323904,-96.431249,180.0,bottom
L5,304.736404,-99.268749,270.0,bottom
L6,305.936403,-100.541252,270.0,bottom
LED1,112.933047,-188.18054,180.0,top
LED2,112.933047,-199.03929,0.0,top
MBS1,222.461797,-126.30929,180.0,top
MBS2,127.211797,-130.72429,270.0,top
MCU1,214.021797,-191.472415,180.0,top
MCU2,299.486405,-102.431247,270.0,top
R1,306.951247,-96.476252,90.0,top
R2,294.886408,-98.671248,270.0,bottom
R3,216.165366,-138.887415,0.0,top
R4,215.891797,-131.04554,180.0,top
R5,218.711797,-131.36554,270.0,top
R6,226.211797,-131.36554,270.0,top
R7,216.165366,-140.077415,0.0,top
R8,216.165366,-140.817858,0.0,top
R9,202.436797,-199.21554,180.0,top
RK1,59.459376,-118.945854,270.0,bottom
RSW1,214.826172,-169.256165,90.0,top
SSW1,322.422021,-102.270851,180.0,top
SSW2,344.204356,-102.253756,180.0,top
U1,346.286797,-118.67429,45.0,bottom
U10,174.836797,-118.67429,45.0,bottom
U11,155.786797,-118.67429,45.0,bottom
U12,136.736797,-118.67429,45.0,bottom
U13,117.686797,-118.67429,45.0,bottom
U14,89.111797,-118.67429,45.0,bottom
U15,341.524297,-137.72429,45.0,bottom
U16,317.711797,-137.72429,45.0,bottom
U17,298.661797,-137.72429,45.0,bottom
U18,279.611797,-137.72429,45.0,bottom
U19,260.561797,-137.72429,45.0,bottom
U2,327.236797,-118.67429,45.0,bottom
U20,241.511797,-137.72429,45.0,bottom
U21,222.461797,-137.72429,45.0,bottom
U22,203.411797,-137.72429,45.0,bottom
U23,184.361797,-137.72429,45.0,bottom
U24,165.311797,-137.72429,45.0,bottom
U25,146.261797,-137.72429,45.0,bottom
U26,127.211797,-137.72429,45.0,bottom
U27,108.161797,-137.72429,45.0,bottom
U28,84.349297,-137.72429,45.0,bottom
U29,60.536797,-137.72429,45.0,bottom
U3,308.186797,-118.67429,45.0,bottom
U30,339.143047,-156.77429,45.0,bottom
U31,312.949297,-156.77429,45.0,bottom
U32,293.899297,-156.77429,45.0,bottom
U33,274.849297,-156.77429,45.0,bottom
U34,255.799297,-156.77429,45.0,bottom
U35,236.749297,-156.77429,45.0,bottom
U36,217.699297,-156.77429,45.0,bottom
U37,198.649297,-156.77429,45.0,bottom
U38,179.599297,-156.77429,45.0,bottom
U39,160.549297,-156.77429,45.0,bottom
U4,289.136797,-118.67429,45.0,bottom
